alpha,cl_corrected
-5.000000,-0.590277
-4.850000,-0.572611
-4.700000,-0.555150
-4.550000,-0.537381
-4.400000,-0.519818
-4.250000,-0.502152
-4.100000,-0.484486
-3.950000,-0.466819
-3.800000,-0.449153
-3.650000,-0.431590
-3.500000,-0.413718
-3.350000,-0.396154
-3.200000,-0.378386
-3.050000,-0.360822
-2.900000,-0.343053
-2.750000,-0.325284
-2.600000,-0.307721
-2.450000,-0.289952
-2.300000,-0.272286
-2.150000,-0.254517
-2.000000,-0.236748
-1.850000,-0.219082
-1.700000,-0.201210
-1.550000,-0.183544
-1.400000,-0.165775
-1.250000,-0.148006
-1.100000,-0.130237
-0.950000,-0.112571
-0.800000,-0.094802
-0.650000,-0.077033
-0.500000,-0.059264
-0.350000,-0.041495
-0.200000,-0.023726
-0.050000,-0.005957
0.100000,0.011914
0.250000,0.029581
0.400000,0.047452
0.550000,0.065221
0.700000,0.082887
0.850000,0.100759
1.000000,0.118528
1.150000,0.136297
1.300000,0.154066
1.450000,0.171732
1.600000,0.189501
1.750000,0.207167
2.050000,0.242705
2.200000,0.260371
2.350000,0.278140
2.500000,0.295909
2.650000,0.313575
2.800000,0.331344
2.950000,0.348908
3.100000,0.366779
3.250000,0.384343
3.400000,0.402112
3.550000,0.419675
3.700000,0.437547
3.850000,0.455110
4.000000,0.472777
4.150000,0.490340
4.300000,0.508212
4.450000,0.525672
4.600000,0.543339
4.750000,0.561005
4.900000,0.578568
5.050000,0.596235
5.200000,0.613695
5.350000,0.631259
5.500000,0.648925
5.650000,0.666386
5.800000,0.683744
5.950000,0.701307
6.100000,0.718768
6.250000,0.736126
6.400000,0.753587
6.550000,0.770945
6.700000,0.788303
6.850000,0.805353
7.000000,0.822609
7.150000,0.839864
7.300000,0.856811
7.450000,0.873861
7.600000,0.890706
7.750000,0.907756
7.900000,0.924497
8.050000,0.941239
8.200000,0.957570
8.350000,0.974209
8.500000,0.990643
8.650000,1.007385
8.800000,1.024127
8.950000,1.041074
9.100000,1.058021
9.250000,1.076509
9.400000,1.094997
9.550000,1.113279
9.700000,1.130946
10.000000,1.169462
10.150000,1.188463
10.300000,1.207362
10.450000,1.226158
10.600000,1.244851
10.750000,1.262210
10.900000,1.277000
11.050000,1.292098
11.200000,1.307299
11.350000,1.322603
11.500000,1.337804
11.650000,1.353006
11.800000,1.368207
11.950000,1.383203
12.100000,1.398198
12.250000,1.413297
12.400000,1.428395
12.550000,1.443391
12.700000,1.458284
12.850000,1.472972
13.000000,1.487454
13.150000,1.501730
13.300000,1.515802
13.450000,1.529565
13.600000,1.543020
13.750000,1.556167
13.900000,1.569006
14.050000,1.581434
14.200000,1.593451
14.350000,1.604955
14.500000,1.615636
14.650000,1.625086
14.800000,1.633816
14.950000,1.642238
15.100000,1.650455
15.250000,1.658467
15.400000,1.666067
15.550000,1.673360
15.700000,1.680241
15.850000,1.686712
16.000000,1.692875
16.150000,1.698524
16.300000,1.703659
16.450000,1.708384
16.600000,1.712492
16.750000,1.716087
16.900000,1.719169
17.050000,1.721634
17.200000,1.723174
17.350000,1.724201
17.500000,1.724510
17.650000,1.723791
17.800000,1.721839
17.950000,1.719169
18.100000,1.715163
18.250000,1.709719
18.400000,1.702735
18.550000,1.694210
18.700000,1.683939
18.850000,1.672127
19.000000,1.657645
19.150000,1.641725
19.300000,1.623340
19.450000,1.602592
19.600000,1.579585
19.750000,1.554216
19.900000,1.525662
20.050000,1.496903
20.200000,1.463933
20.350000,1.429936
20.500000,1.394090
20.650000,1.360504
20.800000,1.319522
20.950000,1.285730
21.100000,1.254198
21.250000,1.225234
21.400000,1.199043
21.550000,1.176754
21.700000,1.165148
21.850000,1.147893
22.000000,1.133821
22.150000,1.126940
22.300000,1.117285
22.450000,1.111739
22.600000,1.108760
22.750000,1.100646
22.900000,1.098694
23.050000,1.092326
