alpha,ld_corrected
-5.000000,-80.749295
-4.850000,-78.872058
-4.700000,-77.104215
-4.550000,-75.158242
-4.400000,-73.317057
-4.250000,-71.328370
-4.100000,-69.212216
-3.950000,-67.362093
-3.800000,-65.283880
-3.650000,-63.190278
-3.500000,-60.840878
-3.350000,-58.863963
-3.200000,-56.475455
-3.050000,-54.340670
-2.900000,-51.977747
-2.750000,-49.586008
-2.600000,-47.268927
-2.450000,-44.676702
-2.300000,-42.412085
-2.150000,-39.830464
-2.000000,-37.224488
-1.850000,-34.664800
-1.700000,-32.039794
-1.550000,-29.320079
-1.400000,-26.609113
-1.250000,-23.871912
-1.100000,-21.039893
-0.950000,-18.244851
-0.800000,-15.440034
-0.650000,-12.587073
-0.500000,-9.683655
-0.350000,-6.791334
-0.200000,-3.895916
-0.050000,-0.976592
0.100000,1.953184
0.250000,4.849283
0.400000,7.779059
0.550000,10.657055
0.700000,13.477624
0.850000,16.410264
1.000000,19.272835
1.150000,21.983364
1.300000,24.809304
1.450000,27.565327
1.600000,30.223430
1.750000,32.831556
2.050000,38.101249
2.200000,40.556256
2.350000,43.189454
2.500000,45.664970
2.650000,47.947280
2.800000,50.432897
2.950000,52.705080
3.100000,55.154776
3.250000,57.279100
3.400000,59.660486
3.550000,61.716938
3.700000,63.875446
3.850000,65.862562
4.000000,68.025398
4.150000,69.948647
4.300000,72.086758
4.450000,73.830398
4.600000,75.779448
4.750000,77.809272
4.900000,79.473674
5.050000,81.341686
5.200000,83.044025
5.350000,84.619148
5.500000,86.408130
5.650000,88.029834
5.800000,89.378290
5.950000,91.078885
6.100000,92.386659
6.250000,93.654744
6.400000,95.149883
6.550000,96.609668
6.700000,97.683176
6.850000,98.695242
7.000000,99.831134
7.150000,100.945181
7.300000,101.880041
7.450000,102.565856
7.600000,103.450129
7.750000,104.219927
7.900000,104.937273
8.050000,105.520088
8.200000,105.808858
8.350000,106.123014
8.500000,106.635409
8.650000,107.054704
8.800000,107.350794
8.950000,107.548948
9.100000,107.631846
9.250000,107.650894
9.400000,107.775279
9.550000,107.980534
9.700000,108.120986
10.000000,108.083360
10.150000,107.846044
10.300000,107.608034
10.450000,107.275430
10.600000,107.222350
10.750000,106.966912
10.900000,106.683364
11.050000,106.258085
11.200000,105.854209
11.350000,105.302814
11.500000,104.761511
11.650000,104.157479
11.800000,103.416993
11.950000,102.687643
12.100000,101.909496
12.250000,101.239021
12.400000,100.662098
12.550000,100.027090
12.700000,99.338143
12.850000,98.592473
13.000000,97.794459
13.150000,96.948385
13.300000,96.058417
13.450000,95.122204
13.600000,94.086592
13.750000,93.016561
13.900000,91.915986
14.050000,90.782655
14.200000,89.570038
14.350000,88.281329
14.500000,87.002501
14.650000,85.847111
14.800000,84.609850
14.950000,83.235604
15.100000,81.827234
15.250000,80.352071
15.400000,78.811131
15.550000,77.148906
15.700000,75.414783
15.850000,73.623402
16.000000,71.762389
16.150000,69.783231
16.300000,67.766880
16.450000,65.631350
16.600000,63.449147
16.750000,61.223237
16.900000,58.915992
17.050000,56.595454
17.200000,54.187873
17.350000,51.777822
17.500000,49.370444
17.650000,46.944189
17.800000,44.491967
17.950000,42.105527
18.100000,39.712039
18.250000,37.362747
18.400000,35.064559
18.550000,32.814449
18.700000,30.633781
18.850000,28.568721
19.000000,26.518078
19.150000,24.595130
19.300000,22.745408
19.450000,20.990075
19.600000,19.324505
19.750000,17.758404
19.900000,16.261586
20.050000,14.927235
20.200000,13.623051
20.350000,12.445046
20.500000,11.345132
20.650000,10.414939
20.800000,9.432569
20.950000,8.672717
21.100000,8.015070
21.250000,7.449588
21.400000,6.959444
21.550000,6.551720
21.700000,6.303891
21.850000,5.995784
22.000000,5.742322
22.150000,5.581120
22.300000,5.393343
22.450000,5.256448
22.600000,5.151513
22.750000,4.992044
22.900000,4.903791
23.050000,4.769359
