alpha,cl,cd,cm,ld,re,ncrit,cl_corrected,cd_original,cd_corrected,ld_corrected,mach_corrected
-5.000000,-0.574700,0.007310,-0.000600,-78.618331,4500000.000000,5.000000,-0.590277,0.007310,0.007310,-80.749295,0.300000
-4.850000,-0.557500,0.007260,-0.000500,-76.790634,4500000.000000,5.000000,-0.572611,0.007260,0.007260,-78.872058,0.300000
-4.700000,-0.540500,0.007200,-0.000500,-75.069444,4500000.000000,5.000000,-0.555150,0.007200,0.007200,-77.104215,0.300000
-4.550000,-0.523200,0.007150,-0.000400,-73.174825,4500000.000000,5.000000,-0.537381,0.007150,0.007150,-75.158242,0.300000
-4.400000,-0.506100,0.007090,-0.000400,-71.382228,4500000.000000,5.000000,-0.519818,0.007090,0.007090,-73.317057,0.300000
-4.250000,-0.488900,0.007040,-0.000300,-69.446023,4500000.000000,5.000000,-0.502152,0.007040,0.007040,-71.328370,0.300000
-4.100000,-0.471700,0.007000,-0.000300,-67.385714,4500000.000000,5.000000,-0.484486,0.007000,0.007000,-69.212216,0.300000
-3.950000,-0.454500,0.006930,-0.000200,-65.584416,4500000.000000,5.000000,-0.466819,0.006930,0.006930,-67.362093,0.300000
-3.800000,-0.437300,0.006880,-0.000200,-63.561047,4500000.000000,5.000000,-0.449153,0.006880,0.006880,-65.283880,0.300000
-3.650000,-0.420200,0.006830,-0.000100,-61.522694,4500000.000000,5.000000,-0.431590,0.006830,0.006830,-63.190278,0.300000
-3.500000,-0.402800,0.006800,-0.000100,-59.235294,4500000.000000,5.000000,-0.413718,0.006800,0.006800,-60.840878,0.300000
-3.350000,-0.385700,0.006730,-0.000100,-57.310550,4500000.000000,5.000000,-0.396154,0.006730,0.006730,-58.863963,0.300000
-3.200000,-0.368400,0.006700,-0.000100,-54.985075,4500000.000000,5.000000,-0.378386,0.006700,0.006700,-56.475455,0.300000
-3.050000,-0.351300,0.006640,-0.000000,-52.906627,4500000.000000,5.000000,-0.360822,0.006640,0.006640,-54.340670,0.300000
-2.900000,-0.334000,0.006600,-0.000000,-50.606061,4500000.000000,5.000000,-0.343053,0.006600,0.006600,-51.977747,0.300000
-2.750000,-0.316700,0.006560,-0.000000,-48.277439,4500000.000000,5.000000,-0.325284,0.006560,0.006560,-49.586008,0.300000
-2.600000,-0.299600,0.006510,0.000000,-46.021505,4500000.000000,5.000000,-0.307721,0.006510,0.006510,-47.268927,0.300000
-2.450000,-0.282300,0.006490,0.000000,-43.497689,4500000.000000,5.000000,-0.289952,0.006490,0.006490,-44.676702,0.300000
-2.300000,-0.265100,0.006420,0.000000,-41.292835,4500000.000000,5.000000,-0.272286,0.006420,0.006420,-42.412085,0.300000
-2.150000,-0.247800,0.006390,0.000100,-38.779343,4500000.000000,5.000000,-0.254517,0.006390,0.006390,-39.830464,0.300000
-2.000000,-0.230500,0.006360,0.000100,-36.242138,4500000.000000,5.000000,-0.236748,0.006360,0.006360,-37.224488,0.300000
-1.850000,-0.213300,0.006320,0.000100,-33.750000,4500000.000000,5.000000,-0.219082,0.006320,0.006320,-34.664800,0.300000
-1.700000,-0.195900,0.006280,0.000100,-31.194268,4500000.000000,5.000000,-0.201210,0.006280,0.006280,-32.039794,0.300000
-1.550000,-0.178700,0.006260,0.000100,-28.546326,4500000.000000,5.000000,-0.183544,0.006260,0.006260,-29.320079,0.300000
-1.400000,-0.161400,0.006230,0.000100,-25.906902,4500000.000000,5.000000,-0.165775,0.006230,0.006230,-26.609113,0.300000
-1.250000,-0.144100,0.006200,0.000100,-23.241935,4500000.000000,5.000000,-0.148006,0.006200,0.006200,-23.871912,0.300000
-1.100000,-0.126800,0.006190,0.000100,-20.484653,4500000.000000,5.000000,-0.130237,0.006190,0.006190,-21.039893,0.300000
-0.950000,-0.109600,0.006170,0.000100,-17.763371,4500000.000000,5.000000,-0.112571,0.006170,0.006170,-18.244851,0.300000
-0.800000,-0.092300,0.006140,0.000000,-15.032573,4500000.000000,5.000000,-0.094802,0.006140,0.006140,-15.440034,0.300000
-0.650000,-0.075000,0.006120,0.000000,-12.254902,4500000.000000,5.000000,-0.077033,0.006120,0.006120,-12.587073,0.300000
-0.500000,-0.057700,0.006120,0.000000,-9.428105,4500000.000000,5.000000,-0.059264,0.006120,0.006120,-9.683655,0.300000
-0.350000,-0.040400,0.006110,0.000000,-6.612111,4500000.000000,5.000000,-0.041495,0.006110,0.006110,-6.791334,0.300000
-0.200000,-0.023100,0.006090,0.000000,-3.793103,4500000.000000,5.000000,-0.023726,0.006090,0.006090,-3.895916,0.300000
-0.050000,-0.005800,0.006100,0.000000,-0.950820,4500000.000000,5.000000,-0.005957,0.006100,0.006100,-0.976592,0.300000
0.100000,0.011600,0.006100,-0.000000,1.901639,4500000.000000,5.000000,0.011914,0.006100,0.006100,1.953184,0.300000
0.250000,0.028800,0.006100,-0.000000,4.721311,4500000.000000,5.000000,0.029581,0.006100,0.006100,4.849283,0.300000
0.400000,0.046200,0.006100,-0.000000,7.573770,4500000.000000,5.000000,0.047452,0.006100,0.006100,7.779059,0.300000
0.550000,0.063500,0.006120,-0.000000,10.375817,4500000.000000,5.000000,0.065221,0.006120,0.006120,10.657055,0.300000
0.700000,0.080700,0.006150,-0.000000,13.121951,4500000.000000,5.000000,0.082887,0.006150,0.006150,13.477624,0.300000
0.850000,0.098100,0.006140,-0.000100,15.977199,4500000.000000,5.000000,0.100759,0.006140,0.006140,16.410264,0.300000
1.000000,0.115400,0.006150,-0.000100,18.764228,4500000.000000,5.000000,0.118528,0.006150,0.006150,19.272835,0.300000
1.150000,0.132700,0.006200,-0.000100,21.403226,4500000.000000,5.000000,0.136297,0.006200,0.006200,21.983364,0.300000
1.300000,0.150000,0.006210,-0.000100,24.154589,4500000.000000,5.000000,0.154066,0.006210,0.006210,24.809304,0.300000
1.450000,0.167200,0.006230,-0.000100,26.837881,4500000.000000,5.000000,0.171732,0.006230,0.006230,27.565327,0.300000
1.600000,0.184500,0.006270,-0.000100,29.425837,4500000.000000,5.000000,0.189501,0.006270,0.006270,30.223430,0.300000
1.750000,0.201700,0.006310,-0.000100,31.965135,4500000.000000,5.000000,0.207167,0.006310,0.006310,32.831556,0.300000
2.050000,0.236300,0.006370,-0.000100,37.095761,4500000.000000,5.000000,0.242705,0.006370,0.006370,38.101249,0.300000
2.200000,0.253500,0.006420,-0.000100,39.485981,4500000.000000,5.000000,0.260371,0.006420,0.006420,40.556256,0.300000
2.350000,0.270800,0.006440,-0.000000,42.049689,4500000.000000,5.000000,0.278140,0.006440,0.006440,43.189454,0.300000
2.500000,0.288100,0.006480,-0.000000,44.459877,4500000.000000,5.000000,0.295909,0.006480,0.006480,45.664970,0.300000
2.650000,0.305300,0.006540,-0.000000,46.681957,4500000.000000,5.000000,0.313575,0.006540,0.006540,47.947280,0.300000
2.800000,0.322600,0.006570,-0.000000,49.101979,4500000.000000,5.000000,0.331344,0.006570,0.006570,50.432897,0.300000
2.950000,0.339700,0.006620,0.000000,51.314199,4500000.000000,5.000000,0.348908,0.006620,0.006620,52.705080,0.300000
3.100000,0.357100,0.006650,0.000000,53.699248,4500000.000000,5.000000,0.366779,0.006650,0.006650,55.154776,0.300000
