alpha,cl_corrected
-5.000000,-0.582369
-4.850000,-0.565113
-4.700000,-0.547858
-4.550000,-0.530603
-4.400000,-0.513244
-4.250000,-0.496092
-4.100000,-0.478631
-3.950000,-0.461376
-3.800000,-0.443915
-3.650000,-0.426659
-3.500000,-0.409199
-3.350000,-0.391738
-3.200000,-0.374380
-3.050000,-0.356816
-2.900000,-0.339458
-2.750000,-0.322100
-2.600000,-0.304639
-2.450000,-0.286973
-2.300000,-0.269615
-2.150000,-0.252154
-2.000000,-0.234591
-1.850000,-0.217027
-1.700000,-0.199464
-1.550000,-0.182003
-1.400000,-0.164440
-1.250000,-0.146773
-1.100000,-0.129210
-0.950000,-0.111544
-0.800000,-0.093980
-0.650000,-0.076314
-0.500000,-0.058750
-0.350000,-0.041084
-0.050000,-0.005854
0.100000,0.011812
0.250000,0.029478
0.400000,0.046939
0.550000,0.064708
0.700000,0.082271
0.850000,0.099937
1.000000,0.117501
1.150000,0.135064
1.300000,0.152628
1.450000,0.170294
1.600000,0.187858
1.750000,0.205421
1.900000,0.222882
2.050000,0.240445
2.200000,0.258009
2.350000,0.275470
2.500000,0.292930
2.650000,0.310391
2.800000,0.327852
2.950000,0.345313
3.100000,0.362774
3.250000,0.380234
3.400000,0.397695
3.550000,0.414950
3.700000,0.432514
3.850000,0.449769
4.000000,0.467230
4.150000,0.484486
4.300000,0.501844
4.450000,0.519099
4.600000,0.536457
4.750000,0.553610
4.900000,0.570865
5.050000,0.588018
5.200000,0.605376
5.350000,0.622426
5.500000,0.639373
5.650000,0.656628
5.800000,0.673576
5.950000,0.690523
6.100000,0.707470
6.250000,0.724212
6.400000,0.741056
6.550000,0.757695
6.700000,0.774540
6.850000,0.790974
7.000000,0.807613
7.150000,0.824560
7.300000,0.841302
7.450000,0.858146
7.600000,0.875813
7.750000,0.893787
7.900000,0.911453
8.050000,0.929838
8.200000,0.949148
8.350000,0.968252
8.500000,0.986945
8.650000,1.005022
8.800000,1.024229
8.950000,1.043950
9.100000,1.063670
9.250000,1.083391
9.400000,1.102803
9.550000,1.122010
9.700000,1.141114
9.850000,1.157548
10.000000,1.171516
10.150000,1.185485
10.300000,1.199967
10.450000,1.214655
10.600000,1.229445
10.750000,1.244235
10.900000,1.259026
11.050000,1.273713
11.200000,1.288401
11.350000,1.302986
11.500000,1.317468
11.650000,1.332155
11.800000,1.346843
11.950000,1.361428
12.100000,1.375807
12.250000,1.390084
12.400000,1.404053
12.550000,1.417816
12.700000,1.431271
12.850000,1.444521
13.000000,1.457360
13.150000,1.469788
13.300000,1.481805
13.450000,1.493308
13.600000,1.504504
13.750000,1.515596
13.900000,1.525046
14.050000,1.533776
14.200000,1.541993
14.350000,1.549902
14.500000,1.557502
14.650000,1.564795
14.800000,1.571676
14.950000,1.578147
15.100000,1.584104
15.250000,1.589753
15.400000,1.594684
15.550000,1.599203
15.700000,1.603311
15.850000,1.606598
16.000000,1.609371
16.150000,1.611528
16.300000,1.612863
16.450000,1.613274
16.600000,1.613171
16.750000,1.611528
16.900000,1.609063
17.050000,1.605365
17.200000,1.599819
17.350000,1.593246
17.500000,1.585234
17.650000,1.576709
17.800000,1.566130
17.950000,1.553188
18.100000,1.537679
18.250000,1.520321
18.400000,1.500293
18.550000,1.477285
18.700000,1.450889
18.850000,1.425006
19.000000,1.397685
19.150000,1.368515
19.300000,1.338729
19.450000,1.307505
19.600000,1.276281
19.750000,1.246803
19.900000,1.219585
20.050000,1.194010
20.200000,1.171105
20.350000,1.151385
20.500000,1.137827
20.650000,1.121907
20.800000,1.112663
20.950000,1.100440
21.100000,1.094175
21.250000,1.084418
21.400000,1.079796
21.550000,1.073530
21.700000,1.069525
21.850000,1.067881
22.000000,1.065724
22.150000,1.062951
22.300000,1.062438
22.450000,1.061719
22.600000,1.058124
22.750000,1.057713
22.900000,1.054529
23.050000,1.052269
