alpha,ld_corrected
-5.000000,-74.854581
-4.850000,-73.391334
-4.700000,-71.803133
-4.550000,-70.278482
-4.400000,-68.432595
-4.250000,-66.948961
-4.100000,-65.031388
-3.950000,-63.288841
-3.800000,-61.314207
-3.650000,-59.506205
-3.500000,-57.633620
-3.350000,-55.565662
-3.200000,-53.636080
-3.050000,-51.414458
-2.900000,-49.339864
-2.750000,-47.298118
-2.600000,-45.065000
-2.450000,-42.704343
-2.300000,-40.422056
-2.150000,-38.089777
-2.000000,-35.706366
-1.850000,-33.235425
-1.700000,-30.686743
-1.550000,-28.173845
-1.400000,-25.613635
-1.250000,-22.969222
-1.100000,-20.316011
-0.950000,-17.565925
-0.800000,-14.870273
-0.650000,-12.113320
-0.500000,-9.340289
-0.350000,-6.531670
-0.050000,-0.933732
0.100000,1.883845
0.250000,4.693936
0.400000,7.462434
0.550000,10.271052
0.700000,13.038213
0.850000,15.812869
1.000000,18.504068
1.150000,21.169958
1.300000,23.810894
1.450000,26.484298
1.600000,29.035168
1.750000,31.554691
1.900000,34.027759
2.050000,36.486392
2.200000,38.915358
2.350000,41.237966
2.500000,43.461483
2.650000,45.712988
2.800000,48.001753
2.950000,50.190808
3.100000,52.122637
3.250000,54.319191
3.400000,56.330754
3.550000,58.116316
3.700000,60.238718
3.850000,61.951702
4.000000,63.916573
4.150000,65.648444
4.300000,67.452096
4.450000,69.029117
4.600000,70.866187
4.750000,72.272806
4.900000,73.946251
5.050000,75.386887
5.200000,76.921956
5.350000,78.391151
5.500000,79.524002
5.650000,80.965270
5.800000,82.143363
5.950000,83.295876
6.100000,84.524498
6.250000,85.402342
6.400000,86.269661
6.550000,87.292107
6.700000,88.216403
6.850000,88.773704
7.000000,89.535788
7.150000,90.313257
7.300000,90.853332
7.450000,91.292168
7.600000,91.804255
7.750000,92.428845
7.900000,92.816002
8.050000,93.263623
8.200000,93.512108
8.350000,93.913875
8.500000,94.354242
8.650000,94.545853
8.800000,94.748315
8.950000,94.818320
9.100000,94.970547
9.250000,95.285008
9.400000,95.398169
9.550000,95.408988
9.700000,95.410858
9.850000,95.114835
10.000000,94.706239
10.150000,94.235676
10.300000,94.041300
10.450000,93.723348
10.600000,93.422865
10.750000,93.061722
10.900000,92.575407
11.050000,92.031296
11.200000,91.440791
11.350000,90.800393
11.500000,90.114078
11.650000,89.526574
11.800000,89.018045
11.950000,88.461853
12.100000,87.854878
12.250000,87.152611
12.400000,86.456452
12.550000,85.668640
12.700000,84.841202
12.850000,83.983763
13.000000,83.040430
13.150000,82.019393
13.300000,80.928708
13.450000,79.770738
13.600000,78.646297
13.750000,77.722893
13.900000,76.712564
14.050000,75.592714
14.200000,74.384612
14.350000,73.074103
14.500000,71.708209
14.650000,70.296260
14.800000,68.782335
14.950000,67.183785
15.100000,65.512999
15.250000,63.794278
15.400000,61.953516
15.550000,60.052676
15.700000,58.090985
15.850000,56.057150
16.000000,53.951428
16.150000,51.784320
16.300000,49.596041
16.450000,47.310091
16.600000,45.060654
16.750000,42.712113
16.900000,40.418563
17.050000,38.095999
17.200000,35.734175
17.350000,33.485615
17.500000,31.310175
17.650000,29.279650
17.800000,27.294005
17.950000,25.354039
18.100000,23.461690
18.250000,21.672432
18.400000,19.958661
18.550000,18.301355
18.700000,16.703762
18.850000,15.332534
19.000000,14.068291
19.150000,12.883778
19.300000,11.828317
19.450000,10.839868
19.600000,9.953060
19.750000,9.189968
19.900000,8.528564
20.050000,7.946820
20.200000,7.449306
20.350000,7.034365
20.500000,6.728723
20.650000,6.403579
20.800000,6.182492
20.950000,5.930376
21.100000,5.763670
21.250000,5.560831
21.400000,5.425836
21.550000,5.274297
21.700000,5.152846
21.850000,5.061288
22.000000,4.965634
22.150000,4.864542
22.300000,4.790718
22.450000,4.716025
22.600000,4.611767
22.750000,4.542660
22.900000,4.446112
23.050000,4.359931
