alpha,cl,cd,cm,ld,re,ncrit,cl_corrected,cd_original,cd_corrected,ld_corrected,mach_corrected
-5.000000,-0.567000,0.007780,-0.002000,-72.879177,2500000.000000,5.000000,-0.582369,0.007780,0.007780,-74.854581,0.300000
-4.850000,-0.550200,0.007700,-0.001900,-71.454545,2500000.000000,5.000000,-0.565113,0.007700,0.007700,-73.391334,0.300000
-4.700000,-0.533400,0.007630,-0.001700,-69.908257,2500000.000000,5.000000,-0.547858,0.007630,0.007630,-71.803133,0.300000
-4.550000,-0.516600,0.007550,-0.001600,-68.423841,2500000.000000,5.000000,-0.530603,0.007550,0.007550,-70.278482,0.300000
-4.400000,-0.499700,0.007500,-0.001500,-66.626667,2500000.000000,5.000000,-0.513244,0.007500,0.007500,-68.432595,0.300000
-4.250000,-0.483000,0.007410,-0.001300,-65.182186,2500000.000000,5.000000,-0.496092,0.007410,0.007410,-66.948961,0.300000
-4.100000,-0.466000,0.007360,-0.001300,-63.315217,2500000.000000,5.000000,-0.478631,0.007360,0.007360,-65.031388,0.300000
-3.950000,-0.449200,0.007290,-0.001100,-61.618656,2500000.000000,5.000000,-0.461376,0.007290,0.007290,-63.288841,0.300000
-3.800000,-0.432200,0.007240,-0.001100,-59.696133,2500000.000000,5.000000,-0.443915,0.007240,0.007240,-61.314207,0.300000
-3.650000,-0.415400,0.007170,-0.001000,-57.935844,2500000.000000,5.000000,-0.426659,0.007170,0.007170,-59.506205,0.300000
-3.500000,-0.398400,0.007100,-0.000900,-56.112676,2500000.000000,5.000000,-0.409199,0.007100,0.007100,-57.633620,0.300000
-3.350000,-0.381400,0.007050,-0.000800,-54.099291,2500000.000000,5.000000,-0.391738,0.007050,0.007050,-55.565662,0.300000
-3.200000,-0.364500,0.006980,-0.000700,-52.220630,2500000.000000,5.000000,-0.374380,0.006980,0.006980,-53.636080,0.300000
-3.050000,-0.347400,0.006940,-0.000700,-50.057637,2500000.000000,5.000000,-0.356816,0.006940,0.006940,-51.414458,0.300000
-2.900000,-0.330500,0.006880,-0.000600,-48.037791,2500000.000000,5.000000,-0.339458,0.006880,0.006880,-49.339864,0.300000
-2.750000,-0.313600,0.006810,-0.000500,-46.049927,2500000.000000,5.000000,-0.322100,0.006810,0.006810,-47.298118,0.300000
-2.600000,-0.296600,0.006760,-0.000500,-43.875740,2500000.000000,5.000000,-0.304639,0.006760,0.006760,-45.065000,0.300000
-2.450000,-0.279400,0.006720,-0.000400,-41.577381,2500000.000000,5.000000,-0.286973,0.006720,0.006720,-42.704343,0.300000
-2.300000,-0.262500,0.006670,-0.000400,-39.355322,2500000.000000,5.000000,-0.269615,0.006670,0.006670,-40.422056,0.300000
-2.150000,-0.245500,0.006620,-0.000300,-37.084592,2500000.000000,5.000000,-0.252154,0.006620,0.006620,-38.089777,0.300000
-2.000000,-0.228400,0.006570,-0.000300,-34.764079,2500000.000000,5.000000,-0.234591,0.006570,0.006570,-35.706366,0.300000
-1.850000,-0.211300,0.006530,-0.000300,-32.358346,2500000.000000,5.000000,-0.217027,0.006530,0.006530,-33.235425,0.300000
-1.700000,-0.194200,0.006500,-0.000200,-29.876923,2500000.000000,5.000000,-0.199464,0.006500,0.006500,-30.686743,0.300000
-1.550000,-0.177200,0.006460,-0.000200,-27.430341,2500000.000000,5.000000,-0.182003,0.006460,0.006460,-28.173845,0.300000
-1.400000,-0.160100,0.006420,-0.000200,-24.937695,2500000.000000,5.000000,-0.164440,0.006420,0.006420,-25.613635,0.300000
-1.250000,-0.142900,0.006390,-0.000100,-22.363067,2500000.000000,5.000000,-0.146773,0.006390,0.006390,-22.969222,0.300000
-1.100000,-0.125800,0.006360,-0.000100,-19.779874,2500000.000000,5.000000,-0.129210,0.006360,0.006360,-20.316011,0.300000
-0.950000,-0.108600,0.006350,-0.000100,-17.102362,2500000.000000,5.000000,-0.111544,0.006350,0.006350,-17.565925,0.300000
-0.800000,-0.091500,0.006320,-0.000100,-14.477848,2500000.000000,5.000000,-0.093980,0.006320,0.006320,-14.870273,0.300000
-0.650000,-0.074300,0.006300,-0.000100,-11.793651,2500000.000000,5.000000,-0.076314,0.006300,0.006300,-12.113320,0.300000
-0.500000,-0.057200,0.006290,-0.000100,-9.093800,2500000.000000,5.000000,-0.058750,0.006290,0.006290,-9.340289,0.300000
-0.350000,-0.040000,0.006290,-0.000000,-6.359300,2500000.000000,5.000000,-0.041084,0.006290,0.006290,-6.531670,0.300000
-0.050000,-0.005700,0.006270,-0.000000,-0.909091,2500000.000000,5.000000,-0.005854,0.006270,0.006270,-0.933732,0.300000
0.100000,0.011500,0.006270,0.000000,1.834131,2500000.000000,5.000000,0.011812,0.006270,0.006270,1.883845,0.300000
0.250000,0.028700,0.006280,0.000000,4.570064,2500000.000000,5.000000,0.029478,0.006280,0.006280,4.693936,0.300000
0.400000,0.045700,0.006290,0.000000,7.265501,2500000.000000,5.000000,0.046939,0.006290,0.006290,7.462434,0.300000
