alpha,cl_corrected
-5.000000,-0.594899
-4.850000,-0.577130
-4.700000,-0.559464
-4.550000,-0.541490
-4.400000,-0.523721
-4.250000,-0.505952
-4.100000,-0.488080
-3.950000,-0.470414
-3.800000,-0.452543
-3.650000,-0.434671
-3.500000,-0.416902
-3.350000,-0.398928
-3.200000,-0.381159
-3.050000,-0.363184
-2.750000,-0.327647
-2.600000,-0.309775
-2.450000,-0.291801
-2.300000,-0.274032
-2.150000,-0.256160
-2.000000,-0.238288
-1.850000,-0.220417
-1.700000,-0.202545
-1.550000,-0.184776
-1.400000,-0.166802
-1.250000,-0.148930
-0.950000,-0.113084
-0.800000,-0.095418
-0.500000,-0.059469
-0.350000,-0.041700
-0.050000,-0.005854
0.100000,0.011914
0.250000,0.029786
0.400000,0.047760
0.550000,0.065529
0.700000,0.083504
0.850000,0.101375
1.000000,0.119247
1.150000,0.137016
1.300000,0.154990
1.450000,0.172759
1.600000,0.190631
1.750000,0.208605
1.900000,0.226374
2.200000,0.262117
2.500000,0.297861
2.650000,0.315835
2.800000,0.333604
2.950000,0.351475
3.100000,0.369244
3.250000,0.387219
3.400000,0.404885
3.550000,0.422859
3.700000,0.440525
3.850000,0.458500
4.000000,0.476269
4.150000,0.494140
4.300000,0.511909
4.450000,0.529678
4.600000,0.547550
4.750000,0.565319
4.900000,0.583088
5.050000,0.600857
5.200000,0.618625
5.350000,0.636292
5.500000,0.654061
5.650000,0.671727
5.800000,0.689393
5.950000,0.707162
6.100000,0.724931
6.250000,0.742494
6.400000,0.760058
6.550000,0.777724
6.700000,0.795390
6.850000,0.812851
7.000000,0.830312
7.150000,0.847875
7.300000,0.865439
7.450000,0.882797
7.600000,0.900155
7.750000,0.917410
7.900000,0.934768
8.050000,0.952127
8.200000,0.969382
8.350000,0.986432
8.500000,1.003482
8.650000,1.020326
8.800000,1.037274
8.950000,1.054221
9.100000,1.070963
9.250000,1.087602
9.400000,1.104035
9.550000,1.120161
9.700000,1.136697
9.850000,1.152720
10.000000,1.169565
10.150000,1.187128
10.300000,1.205000
10.450000,1.222769
10.600000,1.240332
10.750000,1.259539
10.900000,1.278438
11.050000,1.297028
11.200000,1.315414
11.350000,1.333696
11.500000,1.349924
11.650000,1.365536
11.800000,1.381354
11.950000,1.397068
12.100000,1.412783
12.250000,1.428395
12.400000,1.443802
12.550000,1.459106
12.700000,1.474307
12.850000,1.489405
13.000000,1.504298
13.150000,1.519089
13.300000,1.533879
13.450000,1.548566
13.600000,1.563254
13.750000,1.577736
13.900000,1.592013
14.050000,1.606084
14.200000,1.619848
14.350000,1.633405
14.500000,1.646655
14.650000,1.659391
14.800000,1.671922
14.950000,1.683631
15.100000,1.694415
15.250000,1.703249
15.400000,1.711465
15.550000,1.719477
15.700000,1.727077
15.850000,1.734575
16.000000,1.741662
16.150000,1.748338
16.300000,1.754398
16.450000,1.760253
16.600000,1.765902
16.750000,1.770935
16.900000,1.775557
17.050000,1.780281
17.200000,1.784595
17.350000,1.788806
17.500000,1.792299
17.650000,1.795174
17.800000,1.797126
17.950000,1.798769
18.100000,1.799488
18.250000,1.799386
18.400000,1.798050
18.550000,1.795996
18.700000,1.792607
18.850000,1.788087
19.000000,1.781925
19.150000,1.774221
19.300000,1.764978
19.450000,1.754193
19.600000,1.740738
19.750000,1.726050
19.900000,1.708487
20.050000,1.688458
20.200000,1.666889
20.350000,1.641006
20.500000,1.614815
20.650000,1.583385
20.800000,1.550004
20.950000,1.515596
21.100000,1.475847
21.250000,1.439385
21.400000,1.403437
21.550000,1.356806
21.700000,1.321371
21.850000,1.287476
22.000000,1.255225
22.150000,1.226569
22.300000,1.201816
22.600000,1.170284
22.750000,1.154980
22.900000,1.141011
23.050000,1.137930
