alpha,cl,cd,cm,ld,re,ncrit,cl_corrected,cd_original,cd_corrected,ld_corrected,mach_corrected
-5.000000,-0.579200,0.007030,0.000100,-82.389758,7000000.000000,5.000000,-0.594899,0.007030,0.007030,-84.622948,0.300000
-4.850000,-0.561900,0.006980,0.000100,-80.501433,7000000.000000,5.000000,-0.577130,0.006980,0.006980,-82.683439,0.300000
-4.700000,-0.544700,0.006920,0.000200,-78.713873,7000000.000000,5.000000,-0.559464,0.006920,0.006920,-80.847427,0.300000
-4.550000,-0.527200,0.006880,0.000200,-76.627907,7000000.000000,5.000000,-0.541490,0.006880,0.006880,-78.704920,0.300000
-4.400000,-0.509900,0.006840,0.000200,-74.546784,7000000.000000,5.000000,-0.523721,0.006840,0.006840,-76.567388,0.300000
-4.250000,-0.492600,0.006780,0.000200,-72.654867,7000000.000000,5.000000,-0.505952,0.006780,0.006780,-74.624191,0.300000
-4.100000,-0.475200,0.006740,0.000300,-70.504451,7000000.000000,5.000000,-0.488080,0.006740,0.006740,-72.415487,0.300000
-3.950000,-0.458000,0.006690,0.000300,-68.460389,7000000.000000,5.000000,-0.470414,0.006690,0.006690,-70.316020,0.300000
-3.800000,-0.440600,0.006660,0.000300,-66.156156,7000000.000000,5.000000,-0.452543,0.006660,0.006660,-67.949331,0.300000
-3.650000,-0.423200,0.006600,0.000300,-64.121212,7000000.000000,5.000000,-0.434671,0.006600,0.006600,-65.859229,0.300000
-3.500000,-0.405900,0.006560,0.000300,-61.875000,7000000.000000,5.000000,-0.416902,0.006560,0.006560,-63.552133,0.300000
-3.350000,-0.388400,0.006540,0.000300,-59.388379,7000000.000000,5.000000,-0.398928,0.006540,0.006540,-60.998112,0.300000
-3.200000,-0.371100,0.006470,0.000300,-57.357032,7000000.000000,5.000000,-0.381159,0.006470,0.006470,-58.911705,0.300000
-3.050000,-0.353600,0.006450,0.000300,-54.821705,7000000.000000,5.000000,-0.363184,0.006450,0.006450,-56.307658,0.300000
-2.750000,-0.319000,0.006370,0.000300,-50.078493,7000000.000000,5.000000,-0.327647,0.006370,0.006370,-51.435880,0.300000
-2.600000,-0.301600,0.006320,0.000300,-47.721519,7000000.000000,5.000000,-0.309775,0.006320,0.006320,-49.015019,0.300000
-2.450000,-0.284100,0.006310,0.000300,-45.023772,7000000.000000,5.000000,-0.291801,0.006310,0.006310,-46.244149,0.300000
-2.300000,-0.266800,0.006260,0.000300,-42.619808,7000000.000000,5.000000,-0.274032,0.006260,0.006260,-43.775026,0.300000
-2.150000,-0.249400,0.006230,0.000300,-40.032103,7000000.000000,5.000000,-0.256160,0.006230,0.006230,-41.117180,0.300000
-2.000000,-0.232000,0.006190,0.000300,-37.479806,7000000.000000,5.000000,-0.238288,0.006190,0.006190,-38.495703,0.300000
-1.850000,-0.214600,0.006170,0.000300,-34.781199,7000000.000000,5.000000,-0.220417,0.006170,0.006170,-35.723950,0.300000
-1.700000,-0.197200,0.006150,0.000200,-32.065041,7000000.000000,5.000000,-0.202545,0.006150,0.006150,-32.934169,0.300000
-1.550000,-0.179900,0.006110,0.000200,-29.443535,7000000.000000,5.000000,-0.184776,0.006110,0.006110,-30.241608,0.300000
-1.400000,-0.162400,0.006090,0.000200,-26.666667,7000000.000000,5.000000,-0.166802,0.006090,0.006090,-27.389472,0.300000
-1.250000,-0.145000,0.006070,0.000200,-23.887974,7000000.000000,5.000000,-0.148930,0.006070,0.006070,-24.535462,0.300000
-0.950000,-0.110100,0.006040,0.000100,-18.228477,7000000.000000,5.000000,-0.113084,0.006040,0.006040,-18.722563,0.300000
-0.800000,-0.092900,0.006020,0.000100,-15.431894,7000000.000000,5.000000,-0.095418,0.006020,0.006020,-15.850178,0.300000
-0.500000,-0.057900,0.006000,0.000100,-9.650000,7000000.000000,5.000000,-0.059469,0.006000,0.006000,-9.911565,0.300000
-0.350000,-0.040600,0.005990,0.000100,-6.777963,7000000.000000,5.000000,-0.041700,0.005990,0.005990,-6.961681,0.300000
-0.050000,-0.005700,0.005980,-0.000000,-0.953177,7000000.000000,5.000000,-0.005854,0.005980,0.005980,-0.979013,0.300000
0.100000,0.011600,0.005990,-0.000000,1.936561,7000000.000000,5.000000,0.011914,0.005990,0.005990,1.989052,0.300000
0.250000,0.029000,0.005980,-0.000000,4.849498,7000000.000000,5.000000,0.029786,0.005980,0.005980,4.980945,0.300000
0.400000,0.046500,0.005980,-0.000100,7.775920,7000000.000000,5.000000,0.047760,0.005980,0.005980,7.986687,0.300000
0.550000,0.063800,0.006000,-0.000100,10.633333,7000000.000000,5.000000,0.065529,0.006000,0.006000,10.921552,0.300000
0.700000,0.081300,0.005990,-0.000100,13.572621,7000000.000000,5.000000,0.083504,0.005990,0.005990,13.940509,0.300000
0.850000,0.098700,0.006020,-0.000100,16.395349,7000000.000000,5.000000,0.101375,0.006020,0.006020,16.839748,0.300000
1.000000,0.116100,0.006050,-0.000200,19.190083,7000000.000000,5.000000,0.119247,0.006050,0.006050,19.710233,0.300000
1.150000,0.133400,0.006060,-0.000200,22.013201,7000000.000000,5.000000,0.137016,0.006060,0.006060,22.609873,0.300000
1.300000,0.150900,0.006070,-0.000200,24.859967,7000000.000000,5.000000,0.154990,0.006070,0.006070,25.533801,0.300000
1.450000,0.168200,0.006100,-0.000200,27.573770,7000000.000000,5.000000,0.172759,0.006100,0.006100,28.321163,0.300000
1.600000,0.185600,0.006120,-0.000200,30.326797,7000000.000000,5.000000,0.190631,0.006120,0.006120,31.148811,0.300000
1.750000,0.203100,0.006140,-0.000300,33.078176,7000000.000000,5.000000,0.208605,0.006140,0.006140,33.974766,0.300000
