flight_condition,blade_section,reynolds,ncrit,max_efficiency,alpha_opt_deg,cl_max,cl_at_opt,cd_at_opt
climb,mid_span,4000000.000000,6.000000,103.323699,9.400000,1.655300,1.072500,0.010380
climb,root,2200000.000000,6.000000,90.822511,9.100000,1.540900,1.049000,0.011550
climb,tip,6200000.000000,6.000000,112.995910,9.700000,1.731300,1.105100,0.009780
cruise,mid_span,3200000.000000,7.000000,99.160777,9.700000,1.611000,1.122500,0.011320
cruise,root,1800000.000000,7.000000,87.167530,8.650000,1.491500,1.009400,0.011580
cruise,tip,5000000.000000,7.000000,108.685541,9.400000,1.695500,1.074900,0.009890
descent,mid_span,3600000.000000,6.000000,101.165587,9.550000,1.633700,1.093600,0.010810
descent,root,2000000.000000,6.000000,88.926458,9.100000,1.519100,1.052000,0.011830
descent,tip,5600000.000000,6.000000,110.707364,10.000000,1.716400,1.142500,0.010320
takeoff,mid_span,4500000.000000,5.000000,105.267686,9.700000,1.679000,1.101100,0.010460
takeoff,root,2500000.000000,5.000000,92.892977,9.700000,1.570700,1.111000,0.011960
takeoff,tip,7000000.000000,5.000000,114.839744,9.400000,1.752000,1.074900,0.009360
